mm,N,Def,Cont
"0,025885604","5,960402489","0,1","0,2"
"0,02928560397","8,758135796","0,1","0,3"
"0,03268560348","12,04991341","0,1","0,4"
"0,03598560315","14,19038868","0,1","0,5"
"0,03938560357","18,29033661","0,1","0,6"
"0,04268560505","18,72480392","0,1","0,6"
"0,04608560365","21,78964424","0,1","0,7"
"0,04938560332","25,10952568","0,1","0,9"
"0,05278560374","28,44492722","0,1","1,0"
"0,05598560264","30,34548759","0,1","1,0"
"0,05948560382","33,20420837","0,2","1,1"
"0,06268560636","34,87778091","0,2","1,2"
"0,06608560315","37,66518402","0,2","1,3"
"0,06938560281","40,71511078","0,2","1,4"
"0,07268560247","43,00680161","0,2","1,5"
"0,07608560653","46,12408066","0,2","1,6"
"0,0792856018","48,10857391","0,2","1,6"
"0,08288560374","51,41281128","0,2","1,8"
"0,08598560188","53,61917114","0,2","1,8"
"0,08948559943","56,07771301","0,2","1,9"
"0,09258560121","59,49140167","0,2","2,0"
"0,09618559951","61,04162598","0,3","2,1"
"0,09928560129","63,45898056","0,3","2,2"
"0,1028856069","65,38163757","0,3","2,2"
"0,1059856014","67,49829865","0,3","2,3"
"0,109585607","71,092453","0,3","2,4"
"0,1126856087","73,87512207","0,3","2,5"
"0,1161856063","74,72220612","0,3","2,6"
"0,1193856015","77,18589783","0,3","2,6"
"0,1228855991","80,2592392","0,3","2,7"
"0,1260856016","81,35964966","0,3","2,8"
"0,1295855992","86,52050018","0,3","3,0"
"0,1327856017","87,9135437","0,3","3,0"
"0,1361855985","90,25494385","0,4","3,1"
"0,1394856091","91,83627319","0,4","3,1"
"0,1428856059","95,54251099","0,4","3,3"
"0,1461856092","97,47176361","0,4","3,3"
"0,1495855914","100,1664047","0,4","3,4"
"0,152885602","103,4231033","0,4","3,5"
"0,1562856133","105,7105026","0,4","3,6"
"0,1595856093","107,500473","0,4","3,7"
"0,1630856069","110,245224","0,4","3,8"
"0,1662856021","111,9985199","0,4","3,8"
"0,1696856135","115,4672699","0,4","3,9"
"0,1729856095","116,2937698","0,5","4,0"
"0,1763856063","118,9144363","0,5","4,1"
"0,1796856023","120,4478455","0,5","4,1"
"0,1829855983","123,5508804","0,5","4,2"
"0,1863856097","126,5814133","0,5","4,3"
"0,1896856057","128,5030823","0,5","4,4"
"0,1929856017","131,2584839","0,5","4,5"
"0,1962855977","132,7795563","0,5","4,5"
"0,1996855945","135,2268524","0,5","4,6"
"0,2028856043","137,4256134","0,5","4,7"
"0,2062856011","139,190033","0,5","4,8"
"0,2094855964","140,519104","0,5","4,8"
"0,2129855939","143,4004974","0,6","4,9"
"0,2161856038","144,6949005","0,6","4,9"
"0,2196856013","148,602478","0,6","5,1"
"0,2228855966","150,1330109","0,6","5,1"
"0,2263856087","152,6530151","0,6","5,2"
"0,2294856032","155,0397339","0,6","5,3"
"0,233085616","155,0831909","0,6","5,3"
"0,2361856105","158,7062378","0,6","5,4"
"0,2397856088","161,046936","0,6","5,5"
"0,2428856033","162,8124847","0,6","5,6"
"0,2463856009","165,8239136","0,6","5,7"
"0,2495856107","167,5160828","0,7","5,7"
"0,2529856075","168,1471252","0,7","5,7"
"0,2562856035","170,7301788","0,7","5,8"
"0,2596856003","172,9843292","0,7","5,9"
"0,2630855971","175,388092","0,7","6,0"
"0,2663856077","176,993988","0,7","6,0"
"0,269785619","179,7019501","0,7","6,1"
"0,273085615","181,0637054","0,7","6,2"
"0,276385611","182,7955627","0,7","6,2"
"0,2797856078","186,4535522","0,7","6,4"
"0,2830856039","188,2594757","0,7","6,4"
"0,2864856006","190,6655426","0,7","6,5"
"0,2897856258","191,5031128","0,8","6,5"
"0,2931856226","193,9791412","0,8","6,6"
"0,2963856178","194,9833832","0,8","6,7"
"0,2997856146","197,9819489","0,8","6,8"
"0,3030856106","200,7520447","0,8","6,9"
"0,3063856066","201,644516","0,8","6,9"
"0,3097856034","204,8596649","0,8","7,0"
"0,3130855995","206,8395844","0,8","7,1"
"0,3164855962","208,3845367","0,8","7,1"
"0,3195856198","211,0926208","0,8","7,2"
"0,3230855883","210,064743","0,8","7,2"
"0,3262855836","214,4910889","0,9","7,3"
"0,3297856102","215,9934235","0,9","7,4"
"0,3328856047","217,3170471","0,9","7,4"
"0,336485603","220,7578125","0,9","7,5"
"0,3395855975","222,1716614","0,9","7,6"
"0,3430856242","223,7985077","0,9","7,6"
"0,3461856187","225,7044525","0,9","7,7"
"0,3497855879","227,2037659","0,9","7,8"
"0,3528856115","230,3685608","0,9","7,9"
"0,3564856098","230,7465057","0,9","7,9"
"0,3595856043","234,5654907","0,9","8,0"
"0,3631856026","236,4807129","0,9","8,1"
"0,3662856262","236,6256256","1,0","8,1"
"0,3697855946","237,1125641","1,0","8,1"
"0,3729855899","240,2399139","1,0","8,2"
"0,3764856166","243,6867523","1,0","8,3"
"0,3796856118","245,3257141","1,0","8,4"
"0,3831856094","246,6073761","1,0","8,4"
"0,3864856054","249,126297","1,0","8,5"
"0,3897856014","251,1587982","1,0","8,6"
"0,3930855974","253,6724548","1,0","8,7"
"0,3964855942","254,362915","1,0","8,7"
"0,3997855902","256,4041138","1,0","8,8"
"0,403185587","259,1676025","1,1","8,9"
"0,4064856122","261,7503662","1,1","8,9"
"0,4098856089","263,3569031","1,1","9,0"
"0,4130856042","264,7937622","1,1","9,0"
"0,4165856309","266,5111694","1,1","9,1"
"0,4197856261","269,3128967","1,1","9,2"
"0,4231856229","270,010376","1,1","9,2"
"0,4263856182","274,0197449","1,1","9,4"
"0,429785615","274,6360474","1,1","9,4"
"0,433085611","276,5413513","1,1","9,4"
"0,436385607","278,5341797","1,1","9,5"
"0,4397856038","280,2344666","1,1","9,6"
"0,4429856282","282,5949097","1,2","9,7"
"0,4464855966","284,2124939","1,2","9,7"
"0,4495856202","285,4986267","1,2","9,8"
"0,4531856185","288,5482483","1,2","9,9"
"0,4562855839","290,466095","1,2","9,9"
"0,4597856106","292,1833801","1,2","10,0"
"0,4628856051","294,7112427","1,2","10,1"
"0,4664856034","298,7199097","1,2","10,2"
"0,4695855979","297,9772644","1,2","10,2"
"0,4730855954","301,1853638","1,2","10,3"
"0,4762855907","301,3039551","1,2","10,3"
"0,4797856173","303,90271","1,3","10,4"
"0,4829856126","305,7124023","1,3","10,4"
"0,4863856094","307,4747009","1,3","10,5"
"0,4896856054","312,3639221","1,3","10,7"
"0,4930856022","312,7336426","1,3","10,7"
"0,4963855982","313,3516541","1,3","10,7"
"0,499785595","316,8668518","1,3","10,8"
"0,5030856201","319,0358582","1,3","10,9"
"0,5064856169","321,7750244","1,3","11,0"
"0,5097856129","321,9416809","1,3","11,0"
"0,5131856097","323,5341187","1,3","11,0"
"0,5164855766","326,0458679","1,3","11,1"
"0,5198856025","328,7536621","1,4","11,2"
"0,5231856277","329,9518738","1,4","11,3"
"0,5265856535","332,9164429","1,4","11,4"
"0,5297856197","332,3907471","1,4","11,4"
"0,5331855874","335,3345337","1,4","11,5"
"0,5364856125","336,6097412","1,4","11,5"
"0,5397856376","342,5856018","1,4","11,7"
"0,5431856053","341,6023865","1,4","11,7"
"0,5464855722","343,9343262","1,4","11,7"
"0,5497855974","346,3681946","1,4","11,8"
"0,5529856217","348,2069092","1,4","11,9"
"0,5564855902","351,5317078","1,5","12,0"
"0,5596855563","350,2222595","1,5","12,0"
"0,5631856412","352,9088745","1,5","12,1"
"0,5662856066","354,3209229","1,5","12,1"
"0,569785575","357,7344666","1,5","12,2"
"0,5729855994","358,37854","1,5","12,2"
"0,5764856261","362,1985168","1,5","12,4"
"0,5795855915","361,9191589","1,5","12,4"
"0,5831856189","366,0250549","1,5","12,5"
"0,5862855843","367,9447937","1,5","12,6"
"0,5898856117","367,9766846","1,5","12,6"
"0,5929856353","371,5202026","1,5","12,7"
"0,5964856037","373,2424316","1,6","12,7"
"0,5995855691","375,7438049","1,6","12,8"
"0,603085654","377,2628784","1,6","12,9"
"0,6062856201","377,9992676","1,6","12,9"
"0,6097855886","379,780365","1,6","13,0"
"0,6130856137","381,3009949","1,6","13,0"
"0,6163856388","383,7713013","1,6","13,1"
"0,6197856065","386,4987793","1,6","13,2"
