mm,N,Déformation,Contrainte
"0,003257158118","2,145293713","0,0","0,1"
"0,006557158235","6,216115952","0,0","0,2"
"0,009957158204","12,18936539","0,0","0,5"
"0,01335715772","14,04924202","0,0","0,5"
"0,01665715738","19,05267906","0,0","0,7"
"0,0200571578","23,39766312","0,0","0,9"
"0,02345715823","27,4501667","0,1","1,0"
"0,02675715789","32,67095947","0,1","1,2"
"0,03015715831","34,67396545","0,1","1,3"
"0,03335715903","39,71009064","0,1","1,5"
"0,03685716022","44,28730011","0,1","1,6"
"0,04005715912","49,27603912","0,1","1,8"
"0,04345715954","52,74544525","0,1","2,0"
"0,0467571592","57,21153641","0,1","2,1"
"0,05015715599","60,00771332","0,1","2,2"
"0,05345715565","66,0148468","0,1","2,4"
"0,05665715819","68,67972565","0,1","2,5"
"0,06005715861","73,58959198","0,1","2,7"
"0,06325715751","77,06729126","0,2","2,9"
"0,06675715506","81,28940582","0,2","3,0"
"0,0699571576","85,29833984","0,2","3,2"
"0,07345716242","88,97527313","0,2","3,3"
"0,0765571642","92,94048309","0,2","3,4"
"0,08015715523","97,71521759","0,2","3,6"
"0,08325715701","101,4337463","0,2","3,8"
"0,08685715531","106,2247086","0,2","3,9"
"0,08995715709","108,4349823","0,2","4,0"
"0,09345715464","113,819191","0,2","4,2"
"0,09665715718","117,2373352","0,2","4,3"
"0,1001571547","120,70298","0,2","4,5"
"0,1032571565","126,0573502","0,2","4,7"
"0,1068571621","131,1890411","0,3","4,9"
"0,1100571646","133,9036865","0,3","5,0"
"0,1134571614","137,3222809","0,3","5,1"
"0,1166571639","142,0008087","0,3","5,3"
"0,1201571615","145,5912018","0,3","5,4"
"0,1233571495","149,6353455","0,3","5,5"
"0,1268571616","154,7363739","0,3","5,7"
"0,1301571576","157,5058441","0,3","5,8"
"0,1335571689","161,5373535","0,3","6,0"
"0,136857165","166,4851685","0,3","6,2"
"0,1402571618","169,8012695","0,3","6,3"
"0,1435571578","173,1236725","0,3","6,4"
"0,1468571538","177,3636017","0,4","6,6"
"0,1501571644","181,6347961","0,4","6,7"
"0,1535571612","185,55513","0,4","6,9"
"0,1568571572","189,6159821","0,4","7,0"
"0,160257154","193,5524597","0,4","7,2"
"0,16355715","197,3701172","0,4","7,3"
"0,1669571613","201,9284668","0,4","7,5"
"0,1701571566","206,2604523","0,4","7,6"
"0,1734571526","210,1674652","0,4","7,8"
"0,1767571486","212,9807739","0,4","7,9"
"0,1800571592","215,503891","0,4","8,0"
"0,183457156","221,0530396","0,4","8,2"
"0,1866571513","224,2600861","0,5","8,3"
"0,1901571488","229,1876373","0,5","8,5"
"0,1932571579","233,7342377","0,5","8,7"
"0,1968571562","236,5585175","0,5","8,8"
"0,1998571499","240,218689","0,5","8,9"
"0,2035571635","245,6239777","0,5","9,1"
"0,206657158","249,6583099","0,5","9,2"
"0,2102571563","253,3986969","0,5","9,4"
"0,2133571654","256,7817993","0,5","9,5"
"0,2168571629","261,5317383","0,5","9,7"
"0,2199571574","264,5674744","0,5","9,8"
"0,223457155","268,8210449","0,5","10,0"
"0,2267571656","272,3253784","0,5","10,1"
"0,2301571624","277,2123413","0,6","10,3"
"0,2334571584","279,7270813","0,6","10,4"
"0,2368571552","283,6615601","0,6","10,5"
"0,2401571512","287,5851746","0,6","10,7"
"0,2435571625","291,7648926","0,6","10,8"
"0,2468571731","294,41922","0,6","10,9"
"0,2502571699","299,8695374","0,6","11,1"
"0,2535571659","301,5813293","0,6","11,2"
"0,2569571627","306,3862","0,6","11,3"
"0,2602571587","310,8566895","0,6","11,5"
"0,2636571555","314,2589417","0,6","11,6"
"0,2668571799","319,5385437","0,6","11,8"
"0,2702571767","322,3361816","0,7","11,9"
"0,2735571436","324,7399902","0,7","12,0"
"0,2768571687","330,5163574","0,7","12,2"
"0,2802571655","334,9563904","0,7","12,4"
"0,2835571615","339,3204651","0,7","12,6"
"0,2868571575","340,7972717","0,7","12,6"
"0,2901571536","345,8451843","0,7","12,8"
"0,2935571503","348,1672363","0,7","12,9"
"0,2967571456","351,2643127","0,7","13,0"
"0,3002571723","355,4094849","0,7","13,2"
"0,3033571377","361,244751","0,7","13,4"
"0,3068571643","364,1242676","0,7","13,5"
"0,3099571588","368,9336548","0,7","13,7"
"0,3135571571","372,0565796","0,8","13,8"
"0,3166571516","376,4334717","0,8","13,9"
"0,3202571499","379,0780029","0,8","14,0"
"0,3233571444","382,6196899","0,8","14,2"
"0,3269571718","386,1065369","0,8","14,3"
"0,3299571656","389,5264587","0,8","14,4"
"0,3335571639","394,2098389","0,8","14,6"
"0,3366571584","397,1532593","0,8","14,7"
"0,3402571567","401,9120178","0,8","14,9"
"0,3433571803","405,7605896","0,8","15,0"
"0,3468571487","408,7582397","0,8","15,1"
"0,350057144","413,2442627","0,8","15,3"
"0,3534571408","417,1654663","0,9","15,5"
"0,3567571659","419,9223022","0,9","15,6"
"0,3601571627","424,0956726","0,9","15,7"
"0,3635571595","426,9732666","0,9","15,8"
"0,3668571555","430,8465881","0,9","16,0"
"0,3701571515","436,5378723","0,9","16,2"
"0,3735571483","438,3308716","0,9","16,2"
"0,3768571444","443,4932861","0,9","16,4"
"0,3802571411","446,4188232","0,9","16,5"
"0,3834571364","449,5821838","0,9","16,7"
"0,386957163","452,3815308","0,9","16,8"
"0,3901571583","457,5952759","0,9","16,9"
"0,3935571551","460,4193726","1,0","17,1"
"0,3968571802","463,5214233","1,0","17,2"
"0,4001571471","467,8518677","1,0","17,3"
"0,4034571723","471,5012207","1,0","17,5"
"0,4066571675","475,4156799","1,0","17,6"
"0,4101571651","478,1148987","1,0","17,7"
"0,4133571603","481,7801819","1,0","17,8"
"0,4168571579","486,0558472","1,0","18,0"
"0,4199571524","487,8917236","1,0","18,1"
"0,4235571507","492,0467529","1,0","18,2"
"0,4265571444","496,5047913","1,0","18,4"
"0,4301571427","499,2988892","1,0","18,5"
"0,4332571664","502,504425","1,0","18,6"
"0,4368571647","504,8382874","1,1","18,7"
"0,4399571592","510,0519714","1,1","18,9"
"0,4435571575","513,4346313","1,1","19,0"
"0,446657152","518,0391235","1,1","19,2"
"0,4501571495","520,4953613","1,1","19,3"
"0,4533571448","525,927063","1,1","19,5"
"0,4568571714","528,078125","1,1","19,6"
"0,4600571667","532,3659058","1,1","19,7"
"0,4635571351","536,2163696","1,1","19,9"
"0,4667571595","539,7946167","1,1","20,0"
"0,4701571563","542,4193726","1,1","20,1"
"0,4734571523","546,1621704","1,1","20,2"
"0,4768571491","550,1608276","1,2","20,4"
"0,4801571742","551,6722412","1,2","20,4"
"0,483557171","557,6277466","1,2","20,7"
"0,486857167","560,5558472","1,2","20,8"
