mm,N,Def,Cont
"0,01466241516","7,681056023","0,0","0,3"
"0,01826241552","12,59620667","0,0","0,5"
"0,02136241502","15,29491901","0,1","0,6"
"0,02496241515","18,81792068","0,1","0,7"
"0,02806241511","22,68034554","0,1","0,8"
"0,03166241523","26,18173027","0,1","0,9"
"0,03486241595","29,48348999","0,1","1,1"
"0,03836241532","31,88508034","0,1","1,2"
"0,04156241604","36,5176239","0,1","1,3"
"0,0450624154","41,26490402","0,1","1,5"
"0,04826241794","41,81612015","0,1","1,5"
"0,05176241549","46,88750076","0,1","1,7"
"0,05506241515","49,82704544","0,1","1,8"
"0,05846241557","53,11289215","0,1","1,9"
"0,06176241524","55,18914795","0,2","2,0"
"0,06516241566","58,58463669","0,2","2,1"
"0,06846241532","62,80553818","0,2","2,3"
"0,07186241575","64,29567719","0,2","2,3"
"0,07516241541","67,45462036","0,2","2,4"
"0,07856241219","71,52113342","0,2","2,6"
"0,08186241549","72,46509552","0,2","2,6"
"0,08526241955","76,22622681","0,2","2,8"
"0,08856241558","79,29210663","0,2","2,9"
"0,09196241236","82,2133255","0,2","3,0"
"0,09526241566","86,2923584","0,2","3,1"
"0,09856241169","88,74507904","0,2","3,2"
"0,101862415","89,4124527","0,3","3,2"
"0,105162411","95,05293274","0,3","3,4"
"0,1085624151","98,29318237","0,3","3,6"
"0,1118624111","98,84184265","0,3","3,6"
"0,1151624144","103,9675598","0,3","3,8"
"0,1183624097","106,2223587","0,3","3,8"
"0,1219624152","108,7990646","0,3","3,9"
"0,1250624097","111,0032578","0,3","4,0"
"0,1285624146","114,1337433","0,3","4,1"
"0,1316624163","118,4437485","0,3","4,3"
"0,1353624227","120,6712418","0,3","4,4"
"0,1383624164","122,1205673","0,3","4,4"
"0,1419624147","126,1753082","0,3","4,6"
"0,1450624092","128,7103729","0,4","4,7"
"0,1485624213","132,2172699","0,4","4,8"
"0,1517624166","135,7418976","0,4","4,9"
"0,1552624141","139,379425","0,4","5,0"
"0,158462424","139,804718","0,4","5,1"
"0,1618624207","143,8130493","0,4","5,2"
"0,1651624168","146,0487823","0,4","5,3"
"0,1685624136","151,0090027","0,4","5,5"
"0,1718624096","153,4514465","0,4","5,6"
"0,1752624209","156,0240631","0,4","5,7"
"0,1785624169","158,2181091","0,4","5,7"
"0,1819624137","160,3619537","0,4","5,8"
"0,1852624098","163,4338531","0,5","5,9"
"0,1887624073","168,0878448","0,5","6,1"
"0,1919624171","168,3659058","0,5","6,1"
"0,1953624139","172,2093658","0,5","6,2"
"0,1986624099","174,4674683","0,5","6,3"
"0,2021624075","177,2166901","0,5","6,4"
"0,2053624027","179,0966187","0,5","6,5"
"0,2087624286","183,0406189","0,5","6,6"
"0,2120624246","185,6962433","0,5","6,7"
"0,2153624207","187,9378357","0,5","6,8"
"0,2187624175","191,4430237","0,5","6,9"
"0,2220624135","192,3439789","0,5","7,0"
"0,2253624241","196,97789","0,6","7,1"
"0,2286624201","198,0132599","0,6","7,2"
"0,2320624169","201,4544373","0,6","7,3"
"0,2353624129","204,2593231","0,6","7,4"
"0,2387624097","206,8760681","0,6","7,5"
"0,2419624195","208,4283752","0,6","7,6"
"0,245462417","210,3897858","0,6","7,6"
"0,2485624115","212,3554993","0,6","7,7"
"0,2521624098","215,5982819","0,6","7,8"
"0,2552624189","216,3784637","0,6","7,8"
"0,2588624318","220,4623413","0,6","8,0"
"0,2619624263","222,4921722","0,6","8,1"
"0,2654624238","226,9200134","0,7","8,2"
"0,2685624183","228,0342407","0,7","8,3"
"0,2721624166","230,7703552","0,7","8,4"
"0,2752624402","232,1162109","0,7","8,4"
"0,2788624094","235,0370789","0,7","8,5"
"0,2820624338","237,3812103","0,7","8,6"
"0,2854624306","239,3076019","0,7","8,7"
"0,2886624258","241,7671814","0,7","8,8"
"0,2920624226","244,7445221","0,7","8,9"
"0,2954624194","246,8191986","0,7","8,9"
"0,2987624154","249,5671082","0,7","9,0"
"0,3020624115","251,6949005","0,7","9,1"
"0,3054624082","254,7577972","0,8","9,2"
"0,308862405","256,6169128","0,8","9,3"
"0,3121624011","260,816925","0,8","9,4"
"0,3154624262","262,7003174","0,8","9,5"
"0,318862423","265,5488892","0,8","9,6"
"0,3220624182","267,5693665","0,8","9,7"
"0,3255624158","269,3588257","0,8","9,8"
"0,3287624401","273,1509705","0,8","9,9"
"0,3321624369","274,9973755","0,8","10,0"
"0,3353624322","277,0245056","0,8","10,0"
"0,338762429","279,1006775","0,8","10,1"
"0,3421624258","283,8866882","0,8","10,3"
"0,345362421","283,9517517","0,8","10,3"
"0,3487624178","285,4676819","0,9","10,3"
"0,3518624123","289,2493896","0,9","10,5"
"0,3554624106","292,6130371","0,9","10,6"
"0,3585624342","295,2161255","0,9","10,7"
"0,3621624325","295,3574219","0,9","10,7"
"0,3651624263","300,9850464","0,9","10,9"
"0,3688623962","305,9378052","0,9","11,1"
"0,3718624191","305,0954285","0,9","11,1"
"0,3754624174","307,8143311","0,9","11,2"
"0,3785624119","310,3840332","0,9","11,2"
"0,3820624094","314,3727112","0,9","11,4"
"0,3852624047","318,4169617","0,9","11,5"
"0,3887624314","319,1867065","1,0","11,6"
"0,3919624266","320,3040161","1,0","11,6"
"0,3954623951","325,6031494","1,0","11,8"
"0,3987624202","326,5196838","1,0","11,8"
"0,402162417","330,7951355","1,0","12,0"
"0,4053624122","332,0611572","1,0","12,0"
"0,408762409","335,6434631","1,0","12,2"
"0,4120624341","337,0669861","1,0","12,2"
"0,4154624309","339,2724304","1,0","12,3"
"0,4187623979","341,6331787","1,0","12,4"
"0,4222624245","344,8141174","1,0","12,5"
"0,4254624198","346,3518982","1,0","12,5"
"0,4288624165","350,444397","1,1","12,7"
"0,4321624126","353,2590942","1,1","12,8"
"0,4355624094","353,5848389","1,1","12,8"
"0,4388624345","356,791626","1,1","12,9"
"0,4421624014","360,1620483","1,1","13,0"
"0,4454624265","362,851593","1,1","13,1"
"0,4487623935","364,0364685","1,1","13,2"
"0,4520624186","366,4124146","1,1","13,3"
"0,4553624146","370,3322754","1,1","13,4"
"0,4587624114","373,1524048","1,1","13,5"
"0,4620624074","374,616394","1,1","13,6"
"0,4654624042","378,3955383","1,1","13,7"
"0,4686624286","380,6886292","1,2","13,8"
"0,4720624254","383,8349609","1,2","13,9"
"0,4751623908","384,3802185","1,2","13,9"
"0,4787623891","387,3068542","1,2","14,0"
"0,4818624127","388,5756531","1,2","14,1"
"0,485462411","392,4934692","1,2","14,2"
"0,4885624055","394,3681641","1,2","14,3"
"0,4921624329","395,9650574","1,2","14,3"
"0,4951624266","400,2540588","1,2","14,5"
"0,4987624249","403,223053","1,2","14,6"
"0,5019624202","404,609375","1,2","14,7"
"0,5053623879","406,5765381","1,2","14,7"
"0,508662413","409,6911316","1,2","14,8"
"0,5120624389","411,526062","1,3","14,9"
"0,5153624058","415,3631592","1,3","15,0"
"0,5186624309","415,137085","1,3","15,0"
"0,5220623986","419,5345459","1,3","15,2"
"0,5254624245","423,7894287","1,3","15,4"
"0,5287624496","425,4494934","1,3","15,4"
"0,5321624173","427,6773376","1,3","15,5"
"0,5353623835","429,021698","1,3","15,5"
"0,5388624101","432,3849487","1,3","15,7"
"0,5420623763","434,7633057","1,3","15,8"
"0,5455624029","437,0620117","1,3","15,8"
"0,5487624273","438,2688599","1,3","15,9"
"0,552162395","441,7947693","1,4","16,0"
"0,5554624201","444,3692017","1,4","16,1"
"0,558762387","443,1207581","1,4","16,1"
"0,5620624122","447,9615479","1,4","16,2"
"0,5653624373","451,6915894","1,4","16,4"
"0,568762405","454,0400696","1,4","16,5"
"0,5719624293","454,9873047","1,4","16,5"
"0,5754623978","460,552002","1,4","16,7"
"0,5786624222","462,6722717","1,4","16,8"
"0,5821624488","464,5671387","1,4","16,8"
"0,5852624142","466,191864","1,4","16,9"
"0,5887623826","470,7936401","1,4","17,1"
"0,5918624062","472,7609863","1,5","17,1"
"0,5954624337","474,515564","1,5","17,2"
"0,5985623991","473,1863403","1,5","17,1"
"0,6021624265","481,0301208","1,5","17,4"
"0,6052624501","482,0298462","1,5","17,5"
"0,6088624193","484,6479797","1,5","17,6"
"0,6118623839","485,3246155","1,5","17,6"
"0,6154624113","490,3550415","1,5","17,8"
"0,6185624349","491,7757874","1,5","17,8"
"0,6221624041","496,2489929","1,5","18,0"
"0,6253624285","495,6979065","1,5","18,0"
"0,6287623962","500,4746094","1,5","18,1"
"0,6320624213","504,6350403","1,6","18,3"
"0,635462389","506,4211121","1,6","18,3"
"0,6387624141","505,3869324","1,6","18,3"
"0,6420624392","512,1185913","1,6","18,6"
"0,6454624651","514,7766113","1,6","18,7"
"0,6487623739","513,9973145","1,6","18,6"
"0,6521623997","516,7705688","1,6","18,7"
"0,6554624249","519,3122559","1,6","18,8"
"0,65876245","522,9858398","1,6","18,9"
"0,6621624177","524,7716064","1,6","19,0"
"0,6654624428","528,6436768","1,6","19,2"
"0,6688624105","531,7524414","1,6","19,3"
"0,6720624349","532,7801514","1,7","19,3"
"0,6754624025","534,8822021","1,7","19,4"
"0,6787624277","537,9268188","1,7","19,5"
"0,6820624528","539,4055176","1,7","19,5"
"0,6853624197","541,5825195","1,7","19,6"
"0,6885624441","541,7351074","1,7","19,6"
"0,6920624125","547,7851563","1,7","19,8"
"0,6952624369","549,1439819","1,7","19,9"
"0,6987624053","553,1062012","1,7","20,0"
"0,7018624289","556,2315063","1,7","20,2"
"0,7054624563","555,7603149","1,7","20,1"
"0,708462421","561,1056519","1,7","20,3"
"0,7121623909","565,2991333","1,7","20,5"
"0,7151624138","566,3342285","1,8","20,5"
"0,7187624412","567,8428955","1,8","20,6"
"0,7218624066","570,3391724","1,8","20,7"
"0,7253624333","572,7960205","1,8","20,8"
"0,7285623994","575,9584351","1,8","20,9"
"0,7319624253","581,2316895","1,8","21,1"
"0,7352624504","579,4667358","1,8","21,0"
"0,7387624189","583,7550049","1,8","21,2"
"0,742062444","590,0725708","1,8","21,4"
"0,7454624117","588,0684204","1,8","21,3"
"0,7486623778","593,5366211","1,8","21,5"
"0,7520624037","595,3944092","1,8","21,6"
"0,7553624289","594,4674072","1,9","21,5"
"0,7587623965","597,8130493","1,9","21,7"
"0,7620624217","601,848999","1,9","21,8"
"0,7654624476","603,9974976","1,9","21,9"
"0,7687624145","606,5177002","1,9","22,0"
"0,7721624404","607,397644","1,9","22,0"
"0,7753624065","612,8756104","1,9","22,2"
"0,7787624324","614,8273926","1,9","22,3"
"0,7820623993","614,7347412","1,9","22,3"
"0,7854624252","617,5247192","1,9","22,4"
"0,7887624503","622,1057739","1,9","22,5"
"0,7920623591","624,6905518","1,9","22,6"
"0,7953623842","626,848877","2,0","22,7"
"0,7986624093","628,5545044","2,0","22,8"
"0,8020624352","629,7927856","2,0","22,8"
"0,8053624021","632,5003662","2,0","22,9"
"0,808762428","635,1775513","2,0","23,0"
"0,8119623942","638,3880615","2,0","23,1"
"0,8153624201","640,5080566","2,0","23,2"
"0,8185624444","643,0675049","2,0","23,3"
"0,8220624129","646,9572754","2,0","23,4"
"0,8251623783","648,3572998","2,0","23,5"
"0,8287624057","649,6988525","2,0","23,5"
"0,8318624293","652,7595825","2,0","23,7"
"0,8354624567","655,5276489","2,1","23,8"
"0,8385624221","658,2973022","2,1","23,9"
"0,8420623905","659,6849365","2,1","23,9"
"0,8451624141","663,9621582","2,1","24,1"
"0,8487624416","664,663147","2,1","24,1"
"0,851862407","666,1918335","2,1","24,1"
"0,8553623754","672,7991333","2,1","24,4"
"0,8585623998","671,3443604","2,1","24,3"
"0,8619624257","676,7953491","2,1","24,5"
"0,8653623933","676,7593994","2,1","24,5"
"0,8686624185","680,6570435","2,1","24,7"
"0,8720624444","681,4000854","2,1","24,7"
"0,8753624695","687,4096069","2,2","24,9"
"0,8787624372","686,1004639","2,2","24,9"
"0,8820624041","689,7566528","2,2","25,0"
"0,8854623718","691,5145874","2,2","25,1"
"0,8887623969","695,3886108","2,2","25,2"
"0,892062422","698,3961182","2,2","25,3"
"0,8954624479","701,036499","2,2","25,4"
"0,8986624141","702,3026733","2,2","25,4"
"0,9021624407","705,9453735","2,2","25,6"
"0,9053624069","707,9012451","2,2","25,6"
"0,908662432","710,7261963","2,2","25,8"
"0,9120623997","710,2538452","2,2","25,7"
"0,9152623658","714,197876","2,2","25,9"
"0,9186623917","718,7156372","2,3","26,0"
"0,9218624161","720,0007324","2,3","26,1"
"0,9254623853","719,7623901","2,3","26,1"
"0,9285624089","723,9100952","2,3","26,2"
"0,9320624356","726,1781616","2,3","26,3"
"0,935162401","727,9135742","2,3","26,4"
"0,9387624284","729,2359619","2,3","26,4"
"0,9418623938","734,6550903","2,3","26,6"
"0,945462363","731,8752441","2,3","26,5"
"0,9485624448","737,9898071","2,3","26,7"
"0,9520624132","741,6038208","2,3","26,9"
"0,9551623786","738,4927979","2,3","26,8"
"0,9586624635","744,7102051","2,4","27,0"
"0,9618624296","746,236145","2,4","27,0"
"0,9653623981","747,6790161","2,4","27,1"
"0,9685624225","750,076355","2,4","27,2"
"0,9720623909","754,036499","2,4","27,3"
"0,9752624153","755,8286133","2,4","27,4"
"0,9787624419","760,0229492","2,4","27,5"
"0,9819624081","761,2629395","2,4","27,6"
"0,9853623758","764,1254883","2,4","27,7"
"0,9887624016","766,2114258","2,4","27,8"
"0,9920624268","769,1362305","2,4","27,9"
"0,9953623355","770,8966064","2,4","27,9"
"0,9987623614","773,4567261","2,5","28,0"
"1,002162387","774,9091797","2,5","28,1"
"1,005462412","779,1837158","2,5","28,2"
"1,008762438","780,6582031","2,5","28,3"
"1,012162463","783,1330566","2,5","28,4"
"1,015462372","783,8167114","2,5","28,4"
"1,018862514","786,829895","2,5","28,5"
"1,022062422","790,3115234","2,5","28,6"
"1,025462332","790,6633301","2,5","28,6"
"1,028662473","795,5481567","2,5","28,8"
"1,032062382","796,2813721","2,5","28,9"
"1,035362524","801,2567749","2,5","29,0"
"1,038662432","801,8026123","2,6","29,1"
"1,042062342","803,8054199","2,6","29,1"
"1,045162482","803,4199219","2,6","29,1"
"1,048762393","806,4089966","2,6","29,2"
"1,051762416","808,5095215","2,6","29,3"
"1,055462444","812,3103638","2,6","29,4"
"1,05846235","814,8833618","2,6","29,5"
"1,062062378","814,7778931","2,6","29,5"
"1,065162401","816,659729","2,6","29,6"
"1,068762429","819,3292847","2,6","29,7"
"1,071862452","820,9141846","2,6","29,7"
"1,075362479","823,7721558","2,6","29,8"
"1,078562387","826,7650757","2,7","30,0"
"1,081962413","827,1018066","2,7","30,0"
"1,085262438","829,2469482","2,7","30,0"
"1,088662347","831,9088135","2,7","30,1"
"1,091962489","833,7622681","2,7","30,2"
"1,095362398","834,4969482","2,7","30,2"
"1,098662307","837,2351074","2,7","30,3"
"1,102062449","841,914917","2,7","30,5"
"1,105362358","841,5405273","2,7","30,5"
"1,108762384","845,1044312","2,7","30,6"
"1,112062409","845,0879517","2,7","30,6"
"1,115462435","847,7009888","2,7","30,7"
"1,118762344","849,7296143","2,7","30,8"
"1,122162486","852,1489258","2,8","30,9"
"1,125362394","853,3892822","2,8","30,9"
"1,12876242","853,9613037","2,8","30,9"
"1,132062445","857,0027466","2,8","31,1"
"1,135362354","860,8720703","2,8","31,2"
"1,138762496","860,0883179","2,8","31,2"
"1,142062405","863,5193481","2,8","31,3"
"1,145362314","864,6484985","2,8","31,3"
"1,148662455","866,1827393","2,8","31,4"
"1,152062365","869,3701172","2,8","31,5"
"1,155262505","871,2515869","2,8","31,6"
"1,158762416","872,8153076","2,8","31,6"
"1,161962323","874,682373","2,9","31,7"
"1,165362466","876,1842041","2,9","31,7"
"1,168562374","879,085144","2,9","31,9"
"1,1720624","881,0195313","2,9","31,9"
"1,175162424","880,8261108","2,9","31,9"
"1,178762451","883,0977173","2,9","32,0"
"1,181862475","885,3963013","2,9","32,1"
"1,185462502","887,4788818","2,9","32,2"
"1,188462409","889,5849609","2,9","32,2"
"1,19206232","891,3075562","2,9","32,3"
"1,195162343","891,7976685","2,9","32,3"
"1,198762371","895,8005371","2,9","32,5"
"1,201862394","896,0374756","3,0","32,5"
"1,205462422","899,1872559","3,0","32,6"
"1,20866233","900,4418335","3,0","32,6"
