mm,N,Def,Cont
"0,01282230288","7,493292809","0,0","0,0"
"0,01592230306","11,50682068","0,0","0,0"
"0,01952230273","16,26143456","0,0","0,0"
"0,02252230193","20,60866165","0,1","0,0"
"0,02622230282","23,91958618","0,1","0,0"
"0,02932230278","29,19789505","0,1","0,0"
"0,0329223029","32,21347427","0,1","0,0"
"0,0359223021","37,35279465","0,1","0,0"
"0,03952230223","41,23493576","0,1","0,0"
"0,04272230295","46,36618805","0,1","0,0"
"0,04622230049","49,18793869","0,1","0,0"
"0,04942230303","53,52993011","0,1","0,0"
"0,05282230346","57,80327606","0,1","0,0"
"0,05612230312","62,06102371","0,1","0,0"
"0,05952230354","64,70619202","0,1","0,0"
"0,0628223032","69,86045837","0,2","0,0"
"0,06622229999","73,92690277","0,2","0,0"
"0,06952230329","78,90489197","0,2","0,0"
"0,07302230447","84,44411469","0,2","0,0"
"0,07632230777","87,18772125","0,2","0,0"
"0,0796223038","90,90405273","0,2","0,0"
"0,0829223071","94,51617432","0,2","0,0"
"0,08632230388","99,74651337","0,2","0,0"
"0,08962229991","102,5225677","0,2","0,0"
"0,09302230397","106,1249237","0,2","0,0"
"0,09632229999","110,3928909","0,2","0,0"
"0,09962230329","114,5738754","0,2","0,0"
"0,1029222993","119,5135498","0,2","0,0"
"0,1062223026","122,7628784","0,3","0,0"
"0,1095222986","126,3444138","0,3","0,0"
"0,1129223027","129,5158539","0,3","0,0"
"0,116222306","133,6654816","0,3","0,0"
"0,1195223093","138,7711182","0,3","0,0"
"0,1229223061","141,8818054","0,3","0,0"
"0,1261223086","146,4115601","0,3","0,0"
"0,1296223062","150,4489288","0,3","0,0"
"0,1326223072","153,2797546","0,3","0,0"
"0,1363223063","157,3726044","0,3","0,0"
"0,1393223","159,7115479","0,3","0,0"
"0,1430223136","164,7059021","0,3","0,0"
"0,1460223074","168,970459","0,4","0,0"
"0,1496223057","171,2228241","0,4","0,0"
"0,1527223147","174,283844","0,4","0,0"
"0,1562223123","179,4936981","0,4","0,0"
"0,1594223075","182,9165039","0,4","0,0"
"0,1629223051","186,0584869","0,4","0,0"
"0,1661223003","189,4108734","0,4","0,0"
"0,1695222971","192,0195923","0,4","0,0"
"0,1729223085","196,8645172","0,4","0,0"
"0,1762223045","199,4245911","0,4","0,0"
"0,1795223005","203,3292999","0,4","0,0"
"0,1829222973","208,3379974","0,4","0,0"
"0,1862222933","210,1177063","0,5","0,0"
"0,1896223047","215,4282074","0,5","0,0"
"0,1929223007","219,2966614","0,5","0,0"
"0,1964222982","222,9964905","0,5","0,0"
"0,1996222935","225,9339752","0,5","0,0"
"0,2030222903","229,1792603","0,5","0,0"
"0,2062223001","232,7726135","0,5","0,0"
"0,2096222969","235,5269928","0,5","0,0"
"0,2129223075","239,5173035","0,5","0,0"
"0,2163223042","243,2716522","0,5","0,0"
"0,2196223148","246,3256073","0,5","0,0"
"0,2228223101","249,6730804","0,5","0,0"
"0,2263223076","252,1110535","0,5","0,0"
"0,2295223029","255,118042","0,6","0,0"
"0,2330223004","259,6762085","0,6","0,0"
"0,2361223095","262,4836731","0,6","0,0"
"0,239622307","266,9515076","0,6","0,0"
"0,2428223023","270,1928406","0,6","0,0"
"0,2463222998","273,3927002","0,6","0,0"
"0,2494223089","277,155426","0,6","0,0"
"0,2530223072","279,471405","0,6","0,0"
"0,2561222872","283,4967651","0,6","0,0"
"0,2597223146","285,6136475","0,6","0,0"
"0,2628223091","288,9414673","0,6","0,0"
"0,2664223074","293,6991272","0,6","0,0"
"0,2694223011","298,1468811","0,7","0,0"
"0,2730222994","300,6587524","0,7","0,0"
"0,2762222947","302,9291992","0,7","0,0"
"0,2797223213","307,1663513","0,7","0,0"
"0,2829223166","311,1246033","0,7","0,0"
"0,2863223134","312,6448669","0,7","0,0"
"0,2896223094","317,6685791","0,7","0,0"
"0,2930223062","321,428833","0,7","0,0"
"0,2963223022","324,4389954","0,7","0,0"
"0,2996222982","326,8825989","0,7","0,0"
"0,303022295","330,1907654","0,7","0,0"
"0,3064222918","333,9770813","0,7","0,0"
"0,3097223169","338,4910889","0,7","0,0"
"0,3131223137","342,461853","0,8","0,0"
"0,316322309","345,0911865","0,8","0,0"
"0,3197223058","347,0582886","0,8","0,0"
"0,3230223018","350,6593628","0,8","0,0"
"0,3264223277","353,650238","0,8","0,0"
"0,3296223229","356,9755859","0,8","0,0"
"0,3330223197","360,7982178","0,8","0,0"
"0,3363222867","364,4623718","0,8","0,0"
"0,339522311","367,6101685","0,8","0,0"
"0,3429223078","369,6398621","0,8","0,0"
"0,3461223031","373,4178162","0,8","0,0"
"0,3496223006","377,7283325","0,8","0,0"
"0,3527222951","380,1727295","0,9","0,0"
"0,3564223233","385,6504517","0,9","0,0"
"0,359422317","386,747467","0,9","0,0"
"0,3630223153","389,8458862","0,9","0,0"
"0,3660223091","392,2249451","0,9","0,0"
"0,3696223074","396,574585","0,9","0,0"
"0,3727223019","400,6994629","0,9","0,0"
"0,3763223002","402,4109497","0,9","0,0"
"0,3794223238","405,0649414","0,9","0,0"
"0,3829222922","408,8676758","0,9","0,0"
"0,3861222875","411,6498108","0,9","0,0"
"0,3895222843","415,0653992","0,9","0,0"
"0,3928223094","417,742157","1,0","0,0"
"0,3962223062","421,3616333","1,0","0,0"
"0,399622303","426,5609741","1,0","0,0"
"0,4030222998","429,1169434","1,0","0,0"
"0,4063223249","431,4003601","1,0","0,0"
"0,4096222918","436,1797791","1,0","0,0"
"0,412922317","436,9058838","1,0","0,0"
"0,4164222854","440,5137329","1,0","0,0"
"0,4196223098","444,3872681","1,0","0,0"
"0,4230223065","444,29953","1,0","0,0"
"0,4263223026","449,6459045","1,0","0,0"
"0,4297222994","452,0314941","1,0","0,0"
"0,4329223237","455,667511","1,0","0,0"
"0,4363223205","457,8500977","1,1","0,0"
"0,4396222874","460,6931763","1,1","0,0"
"0,4429223126","465,1641235","1,1","0,0"
"0,4463223093","468,0499573","1,1","0,0"
"0,4496223054","469,7153015","1,1","0,0"
"0,4529223014","473,8242188","1,1","0,0"
"0,4562222974","476,000061","1,1","0,0"
"0,4596222942","478,7588196","1,1","0,0"
"0,4628222895","481,6651001","1,1","0,0"
"0,4663223161","484,9468994","1,1","0,0"
"0,4694222815","488,2796631","1,1","0,0"
"0,4730222798","490,4418945","1,1","0,0"
"0,4760223027","493,7532959","1,2","0,0"
"0,479622301","496,2564392","1,2","0,0"
"0,4827222955","498,2828979","1,2","0,0"
"0,4863222938","501,7406311","1,2","0,0"
"0,4894222883","505,6599426","1,2","0,0"
"0,4930223157","508,2160645","1,2","0,0"
"0,4961223102","509,544281","1,2","0,0"
"0,4996223077","514,5360718","1,2","0,0"
"0,5028222739","514,6928711","1,2","0,0"
"0,5062222998","519,0928955","1,2","0,0"
"0,5095223249","521,3859863","1,2","0,0"
"0,5129222926","525,9355469","1,2","0,0"
"0,5162223177","526,1824951","1,2","0,0"
"0,5196222854","529,1452026","1,3","0,0"
"0,5229223105","531,767334","1,3","0,0"
"0,5262222775","533,8744507","1,3","0,0"
"0,5296223033","537,7588501","1,3","0,0"
"0,533022271","540,4984741","1,3","0,0"
"0,5362222954","541,4702759","1,3","0,0"
"0,5397222638","545,5876465","1,3","0,0"
"0,5429223464","546,5220337","1,3","0,0"
"0,5463223141","549,3074951","1,3","0,0"
"0,5495222802","552,644104","1,3","0,0"
"0,5529223061","555,7668457","1,3","0,0"
"0,5562223313","556,6243896","1,3","0,0"
"0,5595222982","559,6175537","1,4","0,0"
"0,5629223241","562,2033081","1,4","0,0"
"0,5661222902","565,6676636","1,4","0,0"
"0,5696223169","567,0515747","1,4","0,0"
"0,5727223405","569,3381958","1,4","0,0"
"0,5763223097","571,6933594","1,4","0,1"
"0,5793222743","574,9571533","1,4","0,1"
"0,5829223017","576,7957764","1,4","0,1"
"0,5860223253","578,6555786","1,4","0,1"
"0,5896223528","580,7352295","1,4","0,1"
"0,5927223182","584,9209595","1,4","0,1"
"0,5962222866","586,7480469","1,4","0,1"
"0,599422311","588,9475708","1,5","0,1"
"0,6029223376","591,9585571","1,5","0,1"
"0,6061223038","592,1670532","1,5","0,1"
"0,6095222715","595,7421265","1,5","0,1"
"0,6128222966","598,5935669","1,5","0,1"
"0,6162223225","601,8972168","1,5","0,1"
"0,6195222894","604,5877075","1,5","0,1"
"0,6229223153","605,0245972","1,5","0,1"
"0,6262223404","608,5067749","1,5","0,1"
"0,6296223081","610,6156616","1,5","0,1"
"0,632922275","613,6125488","1,5","0,1"
"0,6363223009","615,1715088","1,5","0,1"
"0,6396222678","616,795166","1,5","0,1"
"0,642922293","620,7113037","1,6","0,1"
"0,6463223188","621,7471313","1,6","0,1"
"0,6497222865","625,2721558","1,6","0,1"
"0,6530223116","627,1595459","1,6","0,1"
"0,6563223368","629,382019","1,6","0,1"
"0,6596223037","630,7684326","1,6","0,1"
"0,6629222706","633,8744507","1,6","0,1"
"0,6662222957","636,6185303","1,6","0,1"
"0,6696223216","636,5123901","1,6","0,1"
