mm,N,Déformation,Contrainte
"0,01548637967","8,406764984","0,0","0,3"
"0,01888637964","11,47616386","0,0","0,4"
"0,02218637976","14,4500494","0,1","0,5"
"0,02558637927","18,81622696","0,1","0,7"
"0,02888637894","23,13545609","0,1","0,8"
"0,03218638042","25,63443184","0,1","0,9"
"0,03558637902","31,22881699","0,1","1,1"
"0,03888637868","34,74545288","0,1","1,2"
"0,04218638016","37,87955093","0,1","1,4"
"0,04558638241","41,71368027","0,1","1,5"
"0,04888638207","45,29322815","0,1","1,6"
"0,05218638173","48,9291153","0,1","1,8"
"0,05548638139","50,95865631","0,1","1,8"
"0,05878638105","54,49787521","0,1","2,0"
"0,06218637784","60,1350975","0,2","2,2"
"0,06538638038","62,24433517","0,2","2,2"
"0,06888638156","65,9865799","0,2","2,4"
"0,0719863797","69,58091736","0,2","2,5"
"0,07548637361","74,27850342","0,2","2,7"
"0,07858637539","76,40840149","0,2","2,7"
"0,08218638097","79,54573822","0,2","2,9"
"0,08528637547","85,26726532","0,2","3,1"
"0,08888638106","86,38916016","0,2","3,1"
"0,09198638283","88,82946014","0,2","3,2"
"0,09558638114","93,21855164","0,2","3,3"
"0,09868638292","96,21764374","0,2","3,4"
"0,1021863805","98,95074463","0,2","3,5"
"0,1053863757","102,9107666","0,3","3,7"
"0,1087863798","105,7728806","0,3","3,8"
"0,1120863758","109,7812576","0,3","3,9"
"0,1154863799","113,5376511","0,3","4,1"
"0,1187863832","118,3017731","0,3","4,2"
"0,1220863865","119,0872879","0,3","4,3"
"0,1254863833","122,277359","0,3","4,4"
"0,12888638","127,286087","0,3","4,6"
"0,1321863833","129,6576996","0,3","4,6"
"0,1355863874","133,7581787","0,3","4,8"
"0,1388863834","135,8644257","0,3","4,9"
"0,1422863802","139,9380035","0,3","5,0"
"0,14548639","143,3975677","0,4","5,1"
"0,1488863868","145,7061768","0,4","5,2"
"0,1521863828","148,7601929","0,4","5,3"
"0,1554863789","153,2744751","0,4","5,5"
"0,1588863757","155,350296","0,4","5,6"
"0,1621863862","158,9807892","0,4","5,7"
"0,165586383","160,8129272","0,4","5,8"
"0,1687863783","166,8059235","0,4","6,0"
"0,1721863751","167,7626953","0,4","6,0"
"0,1753863849","169,8052521","0,4","6,1"
"0,1788863824","175,0605316","0,4","6,3"
"0,1819863769","177,9810333","0,4","6,4"
"0,1855863752","180,4933167","0,4","6,5"
"0,1886863843","184,061264","0,5","6,6"
"0,1921863818","187,6943207","0,5","6,7"
"0,1952863763","189,4507294","0,5","6,8"
"0,1988863746","193,9162598","0,5","7,0"
"0,2019863837","197,4115143","0,5","7,1"
"0,2055863674","200,6342926","0,5","7,2"
"0,2086863765","203,5157623","0,5","7,3"
"0,2122863894","205,8645477","0,5","7,4"
"0,2153863693","209,3067017","0,5","7,5"
"0,2188863814","212,2067413","0,5","7,6"
"0,2220863912","216,0595551","0,5","7,7"
"0,2255863888","219,2322845","0,5","7,9"
"0,228786384","221,1667175","0,6","7,9"
"0,2321863808","224,5465088","0,6","8,0"
"0,2354863768","227,9940186","0,6","8,2"
"0,2388863882","230,5853882","0,6","8,3"
"0,2421863842","234,5924072","0,6","8,4"
"0,245586381","237,0345001","0,6","8,5"
"0,248886377","240,4581909","0,6","8,6"
"0,2522863738","243,4441681","0,6","8,7"
"0,2555863844","245,3125305","0,6","8,8"
"0,2589863957","249,6505432","0,6","8,9"
"0,2622863917","252,7963104","0,6","9,1"
"0,2656863885","254,2200623","0,6","9,1"
"0,2688863838","256,8538818","0,6","9,2"
"0,2722863806","260,4353333","0,7","9,3"
"0,2755863766","263,6065369","0,7","9,4"
"0,2789863734","266,5588989","0,7","9,6"
"0,2821863686","270,6273499","0,7","9,7"
"0,2855863654","273,9314575","0,7","9,8"
"0,2888863906","275,6498718","0,7","9,9"
"0,2921863866","278,6203613","0,7","10,0"
"0,2955863834","281,5514221","0,7","10,1"
"0,2987863786","286,0468445","0,7","10,3"
"0,3022863762","288,4089355","0,7","10,3"
"0,3053863707","290,0974426","0,7","10,4"
"0,3088863973","293,1253662","0,7","10,5"
"0,3119863627","296,6421204","0,8","10,6"
"0,3156863909","299,8519287","0,8","10,7"
"0,3186863846","304,4416504","0,8","10,9"
"0,3222863829","307,574707","0,8","11,0"
"0,3253863774","309,8741455","0,8","11,1"
"0,328886375","312,0050049","0,8","11,2"
"0,3319863695","316,4094238","0,8","11,3"
"0,3355863969","319,7545776","0,8","11,5"
"0,3386863914","323,3440552","0,8","11,6"
"0,342186389","326,4991455","0,8","11,7"
"0,345486385","330,8700867","0,8","11,9"
"0,3488863818","333,4556885","0,8","12,0"
"0,3521863778","335,427887","0,9","12,0"
"0,3554863738","338,4676208","0,9","12,1"
"0,3588863706","342,70224","0,9","12,3"
"0,3622863674","346,8917236","0,9","12,4"
"0,3655863925","348,8648987","0,9","12,5"
"0,3689863893","352,2263794","0,9","12,6"
"0,3722863853","355,6148376","0,9","12,7"
"0,3756863821","359,1439514","0,9","12,9"
"0,3788863774","359,5020752","0,9","12,9"
"0,3823863749","364,7692566","0,9","13,1"
"0,3855863702","367,5018921","0,9","13,2"
"0,3889863961","369,521698","0,9","13,2"
"0,392286363","373,9537048","0,9","13,4"
"0,3956863598","375,8608704","1,0","13,5"
"0,3989863849","378,5107117","1,0","13,6"
"0,4022863518","383,5338745","1,0","13,7"
"0,4055863769","384,4761963","1,0","13,8"
"0,4088864021","387,4747925","1,0","13,9"
"0,4122863989","390,0091248","1,0","14,0"
"0,4154863941","393,9487305","1,0","14,1"
"0,4188863909","397,6246033","1,0","14,3"
"0,4220863862","400,329895","1,0","14,3"
"0,4255863837","404,148407","1,0","14,5"
"0,4286863782","407,259491","1,0","14,6"
"0,4322863765","408,2715149","1,0","14,6"
"0,435386371","411,7724304","1,1","14,8"
"0,4389863693","416,2261047","1,1","14,9"
"0,4420863929","416,7503967","1,1","14,9"
"0,4455863614","421,0515137","1,1","15,1"
"0,448686385","423,6057434","1,1","15,2"
"0,4522863833","424,8353577","1,1","15,2"
"0,4553863778","427,6533203","1,1","15,3"
"0,4588863753","432,5550232","1,1","15,5"
"0,4620863997","433,2301331","1,1","15,5"
"0,4654863965","437,6489563","1,1","15,7"
"0,4688863933","440,6594849","1,1","15,8"
"0,4721863602","444,3667603","1,1","15,9"
"0,475586357","446,1325378","1,1","16,0"
"0,4788863821","450,0461731","1,2","16,1"
"0,4822863789","450,9232483","1,2","16,2"
"0,485586404","454,4996338","1,2","16,3"
"0,488886371","456,0897217","1,2","16,3"
"0,4922863677","459,8790894","1,2","16,5"
"0,4954863921","463,7520447","1,2","16,6"
"0,4989863897","465,2809143","1,2","16,7"
"0,5021863849","469,9406128","1,2","16,8"
"0,5055863526","471,5992737","1,2","16,9"
"0,5088863777","473,701416","1,2","17,0"
"0,5121864029","476,5214539","1,2","17,1"
"0,5154863698","479,8927307","1,2","17,2"
"0,5187863949","482,6776123","1,3","17,3"
"0,5221863626","486,23526","1,3","17,4"
"0,5253863869","488,9870605","1,3","17,5"
"0,5289864144","492,0285034","1,3","17,6"
"0,5320863798","494,1446533","1,3","17,7"
"0,5356864072","496,8435669","1,3","17,8"
"0,53868643","500,6210327","1,3","17,9"
"0,542286341","502,8065491","1,3","18,0"
"0,5453863646","504,2932129","1,3","18,1"
"0,5488863913","509,8294983","1,3","18,3"
"0,5519863567","510,4759216","1,3","18,3"
"0,5555863259","514,2789917","1,3","18,4"
"0,5586864077","517,0123901","1,3","18,5"
"0,5621863761","520,2631226","1,4","18,6"
"0,5653863423","523,2022095","1,4","18,8"
"0,5688863689","524,3009644","1,4","18,8"
"0,5720863933","527,4801636","1,4","18,9"
"0,5755864199","529,3510742","1,4","19,0"
"0,5788863869","532,4547729","1,4","19,1"
"0,5822863546","533,5231323","1,4","19,1"
"0,5854863789","537,4434814","1,4","19,3"
"0,5888864048","539,538269","1,4","19,3"
"0,5922863725","542,776062","1,4","19,5"
"0,5955863976","544,9462891","1,4","19,5"
"0,5989864235","545,2839966","1,4","19,5"
"0,6022863322","550,9500122","1,5","19,7"
"0,6056863581","551,8134766","1,5","19,8"
"0,6089863832","552,9125977","1,5","19,8"
"0,6122864084","557,8618164","1,5","20,0"
"0,6155863753","557,8126221","1,5","20,0"
"0,6188863422","561,1916504","1,5","20,1"
"0,6222863681","564,3837891","1,5","20,2"
"0,6255863932","566,4049072","1,5","20,3"
"0,6288863601","568,7838745","1,5","20,4"
"0,6321863853","571,1602783","1,5","20,5"
"0,6354863522","573,6262207","1,5","20,6"
"0,6388863781","575,822937","1,5","20,6"
"0,6420864024","578,362915","1,6","20,7"
"0,6455863709","580,7901001","1,6","20,8"
"0,6486863363","583,3197632","1,6","20,9"
