mm,N,Def,Cont
"0,006659908258","1,825772762","0,0","0,1"
"0,01015990853","7,18259573","0,0","0,3"
"0,01335990789","9,728051186","0,0","0,4"
"0,01685990816","12,69543266","0,0","0,5"
"0,02005990797","17,15854073","0,0","0,6"
"0,02355990916","20,20692444","0,1","0,7"
"0,02675990806","24,21065903","0,1","0,9"
"0,03025990743","27,36237717","0,1","1,0"
"0,03345990815","30,31850815","0,1","1,1"
"0,03695990933","35,96809387","0,1","1,3"
"0,04015990823","38,03227615","0,1","1,4"
"0,04365990942","43,28646851","0,1","1,6"
"0,04695990908","45,67177963","0,1","1,7"
"0,0503599095","50,04202652","0,1","1,8"
"0,05365990916","53,26742172","0,1","2,0"
"0,05695990882","56,41195679","0,1","2,1"
"0,06035990561","59,45274734","0,1","2,2"
"0,06365990891","62,57517242","0,2","2,3"
"0,06705990206","65,51530457","0,2","2,4"
"0,07035990536","69,30413055","0,2","2,5"
"0,07365990866","72,99333954","0,2","2,7"
"0,07705991272","76,32515717","0,2","2,8"
"0,08035990874","79,67126465","0,2","2,9"
"0,08375990553","82,93383789","0,2","3,0"
"0,08695990807","85,59910583","0,2","3,1"
"0,09025991137","89,05226135","0,2","3,3"
"0,09365990815","94,00706482","0,2","3,4"
"0,09695990418","95,29528046","0,2","3,5"
"0,1003599082","100,7818451","0,2","3,7"
"0,10345991","101,797905","0,3","3,7"
"0,1070599083","106,6349564","0,3","3,9"
"0,1101599028","108,0665512","0,3","4,0"
"0,1137599084","111,2540436","0,3","4,1"
"0,1167599021","114,2218475","0,3","4,2"
"0,1203599077","116,8970184","0,3","4,3"
"0,1234599095","120,8208313","0,3","4,4"
"0,1270599005","123,7313232","0,3","4,5"
"0,1301599096","126,7678604","0,3","4,6"
"0,1336599217","130,1915894","0,3","4,8"
"0,1368599024","132,9803925","0,3","4,9"
"0,1402599137","136,5193939","0,3","5,0"
"0,1435599098","138,1985168","0,4","5,1"
"0,1469599066","143,4824371","0,4","5,3"
"0,1502599171","146,4565887","0,4","5,4"
"0,1536599139","148,78685","0,4","5,5"
"0,1569599099","151,3450165","0,4","5,5"
