mm,N,Def,Cont
"0,01630320213","2,602906227","0,0","0,1"
"0,01980320195","6,034825325","0,1","0,2"
"0,02300320222","7,527947426","0,1","0,3"
"0,02650320159","10,24306679","0,1","0,3"
"0,0297032014","14,53744793","0,1","0,5"
"0,03310320182","15,54903412","0,1","0,5"
"0,03640320148","19,18652153","0,1","0,7"
"0,0398032019","20,53566551","0,1","0,7"
"0,04320320233","24,36171722","0,1","0,8"
"0,04650320017","26,35773849","0,1","0,9"
"0,04990320423","29,70361328","0,1","1,0"
"0,05320320389","33,51608658","0,1","1,1"
"0,05650320356","35,46556091","0,1","1,2"
"0,05990320034","37,98057556","0,2","1,3"
"0,0632032","39,99252319","0,2","1,4"
"0,06660320406","42,33480072","0,2","1,4"
"0,06980319933","46,14918137","0,2","1,6"
"0,07320320339","49,01155853","0,2","1,7"
"0,07650319577","51,20589828","0,2","1,7"
"0,07980319907","53,95881653","0,2","1,8"
"0,08310320237","56,31243515","0,2","1,9"
"0,08640320567","59,42972565","0,2","2,0"
"0,08980320246","61,25161743","0,2","2,1"
"0,093003205","63,5627861","0,2","2,2"
"0,09660320331","65,65206909","0,3","2,2"
"0,09960320432","67,36753845","0,3","2,3"
"0,1032032026","69,83942413","0,3","2,4"
"0,1063032044","72,3196106","0,3","2,5"
"0,1099032027","74,30680084","0,3","2,5"
"0,1130031972","75,8806076","0,3","2,6"
"0,116503202","79,17585754","0,3","2,7"
"0,1196031965","81,58266449","0,3","2,8"
"0,1232032021","83,55175018","0,3","2,9"
"0,1263031966","87,36738586","0,3","3,0"
"0,1298032014","89,36595154","0,3","3,1"
"0,133003204","91,52531433","0,3","3,1"
"0,1365031943","94,09925842","0,4","3,2"
"0,1398032048","95,88607788","0,4","3,3"
"0,1432032016","99,7816391","0,4","3,4"
"0,1465032122","99,60684204","0,4","3,4"
"0,149903209","103,4166183","0,4","3,5"
"0,153203205","104,9848404","0,4","3,6"
"0,1566032018","106,5275574","0,4","3,6"
"0,1599031978","111,0475616","0,4","3,8"
"0,1633032092","112,5471649","0,4","3,8"
"0,1665032044","114,2273636","0,4","3,9"
"0,1699032012","116,7436829","0,4","4,0"
"0,1732031972","119,4459305","0,5","4,1"
"0,176603194","120,4585953","0,5","4,1"
"0,1799032046","122,7114716","0,5","4,2"
"0,1832032006","125,3726196","0,5","4,3"
"0,1866031974","128,1280975","0,5","4,4"
"0,1899031934","129,5610657","0,5","4,4"
"0,193203204","132,8496704","0,5","4,5"
"0,1965032","133,8736725","0,5","4,6"
"0,1999031968","136,9455109","0,5","4,7"
"0,2031031921","139,6400757","0,5","4,8"
"0,2065032034","141,1132813","0,5","4,8"
"0,2097031987","144,6984558","0,5","4,9"
"0,2132031962","145,5565186","0,6","5,0"
"0,2163031907","148,4654999","0,6","5,1"
"0,2199032036","149,8094025","0,6","5,1"
"0,2230031981","153,0494537","0,6","5,2"
"0,2266032109","155,18573","0,6","5,3"
"0,2297032054","156,6167145","0,6","5,3"
"0,2333032037","159,5431824","0,6","5,4"
"0,236303212","162,5587463","0,6","5,6"
"0,2399032103","163,9471436","0,6","5,6"
"0,2430032048","166,3659058","0,6","5,7"
"0,2466032032","168,5681152","0,6","5,8"
"0,2497031977","171,4332581","0,7","5,9"
"0,2532031952","172,7838135","0,7","5,9"
"0,256403205","176,3546295","0,7","6,0"
"0,2598032164","177,8728943","0,7","6,1"
"0,2631032124","180,3423309","0,7","6,2"
"0,2665032092","183,0796051","0,7","6,3"
"0,269903206","184,674881","0,7","6,3"
"0,273203202","187,3085022","0,7","6,4"
"0,2766031988","189,1456146","0,7","6,5"
"0,2800031955","190,9802704","0,7","6,5"
"0,2833032207","193,7585144","0,7","6,6"
"0,2866031876","196,0358734","0,7","6,7"
"0,2898031829","198,1951294","0,8","6,8"
"0,2933032095","199,8722534","0,8","6,8"
"0,2965032048","202,6795959","0,8","6,9"
"0,2999032016","204,0334015","0,8","7,0"
"0,3032031976","205,8864746","0,8","7,0"
"0,3065031936","208,1543732","0,8","7,1"
"0,3098031896","210,7049103","0,8","7,2"
"0,3131032148","213,4843597","0,8","7,3"
"0,3165032115","214,216629","0,8","7,3"
"0,3197032068","215,513382","0,8","7,4"
"0,3232031752","218,9817352","0,8","7,5"
"0,3263031989","220,4131012","0,8","7,5"
"0,3299031972","222,8382111","0,9","7,6"
"0,3330031917","224,9763336","0,9","7,7"
"0,3366032191","228,0919647","0,9","7,8"
"0,3397032136","227,5056305","0,9","7,8"
"0,3433032119","229,672287","0,9","7,8"
"0,3464032064","232,5654449","0,9","7,9"
"0,3499032039","233,8537445","0,9","8,0"
"0,3530032275","236,9861755","0,9","8,1"
"0,3566032258","237,3317566","0,9","8,1"
"0,3597031912","240,2549133","0,9","8,2"
"0,3632032179","243,2632294","0,9","8,3"
"0,3664032132","243,9147034","1,0","8,3"
"0,3699031816","246,0255585","1,0","8,4"
"0,373103206","248,2948303","1,0","8,5"
"0,3766032035","249,3429871","1,0","8,5"
"0,3798031988","252,2331238","1,0","8,6"
"0,3832031956","255,0904388","1,0","8,7"
"0,3865031916","256,2919922","1,0","8,8"
"0,3899031884","258,1000977","1,0","8,8"
"0,3932032135","258,5958252","1,0","8,8"
"0,3966032103","262,4230957","1,0","9,0"
"0,4000032071","265,1159973","1,0","9,1"
"0,403303174","267,6342773","1,1","9,1"
"0,4066031991","270,5200195","1,1","9,2"
