mm,N,Def 4,Cont
"0,03705473505","14,6552496","0,1","0,5"
"0,04545473444","21,41539192","0,1","0,8"
"0,05365473503","30,25296021","0,1","1,1"
"0,06205473533","35,80971146","0,2","1,3"
"0,07055473457","43,53033447","0,2","1,6"
"0,07875473516","51,45689774","0,2","1,8"
"0,08715473728","57,81828308","0,2","2,1"
"0,09535473423","62,6037674","0,3","2,2"
"0,1039547342","71,18370056","0,3","2,6"
"0,1122547392","76,98235321","0,3","2,8"
"0,1204547362","83,7416687","0,3","3,0"
"0,1288547347","89,56772614","0,3","3,2"
"0,1370547316","95,49990845","0,4","3,4"
"0,1456547389","104,5879288","0,4","3,7"
"0,1539547439","110,1022339","0,4","3,9"
"0,1621547336","116,2773666","0,4","4,2"
"0,1704547386","121,9619675","0,4","4,4"
"0,1788547298","127,0220718","0,5","4,6"
"0,1874547225","135,069519","0,5","4,8"
"0,195554726","140,7083893","0,5","5,0"
"0,2038547309","145,9941559","0,5","5,2"
"0,2120547352","151,719162","0,6","5,4"
"0,2206547425","157,5462952","0,6","5,6"
"0,2290547337","164,3511963","0,6","5,9"
"0,2371547371","168,1303711","0,6","6,0"
"0,2455547283","173,9857788","0,6","6,2"
"0,2537547326","181,2362671","0,7","6,5"
"0,262454726","183,4979401","0,7","6,6"
"0,2705547295","190,3222351","0,7","6,8"
"0,2789547498","193,5472565","0,7","6,9"
"0,2871547249","200,7750854","0,8","7,2"
"0,2954547299","204,2012634","0,8","7,3"
"0,3040547372","207,8826294","0,8","7,5"
"0,3122547123","214,7037964","0,8","7,7"
"0,3205547173","220,8392181","0,8","7,9"
"0,3287547216","224,3553772","0,9","8,0"
"0,3373547579","229,6299286","0,9","8,2"
"0,3457547346","236,7328033","0,9","8,5"
"0,3538547381","240,3579254","0,9","8,6"
"0,3622547438","243,1237793","1,0","8,7"
"0,370454719","247,8348846","1,0","8,9"
"0,3789547255","254,6959686","1,0","9,1"
"0,3872547305","257,7429504","1,0","9,2"
"0,3955547355","262,6781311","1,0","9,4"
"0,4038547113","268,422821","1,1","9,6"
"0,4121547454","272,3945618","1,1","9,8"
"0,4208547535","279,3319397","1,1","10,0"
"0,4289547569","282,9375","1,1","10,1"
"0,4373547336","287,5909729","1,1","10,3"
"0,4454547371","290,6923828","1,2","10,4"
"0,4540547443","298,2579041","1,2","10,7"
"0,4623547493","302,7710876","1,2","10,9"
"0,4705547245","307,880127","1,2","11,0"
"0,4789547302","312,0871277","1,3","11,2"
"0,4870547337","316,9579468","1,3","11,4"
"0,4957547417","322,9345398","1,3","11,6"
"0,503954746","324,9970398","1,3","11,6"
"0,5122547509","331,92099","1,3","11,9"
"0,5205547559","334,628418","1,4","12,0"
"0,528754702","337,6728516","1,4","12,1"
"0,53745471","345,20755","1,4","12,4"
"0,5456547142","349,2017212","1,4","12,5"
"0,5539547192","354,5740051","1,5","12,7"
"0,5621547235","356,4347229","1,5","12,8"
"0,5705547292","362,693573","1,5","13,0"
"0,5790547357","367,2448425","1,5","13,2"
"0,58725474","373,342041","1,5","13,4"
"0,5955546867","377,1750183","1,6","13,5"
"0,6037547492","381,590332","1,6","13,7"
"0,6123547565","385,2162781","1,6","13,8"
"0,6206547615","390,9610291","1,6","14,0"
"0,6288547657","395,3850708","1,7","14,2"
"0,6372547132","400,5790405","1,7","14,4"
"0,6454547757","403,5814514","1,7","14,5"
"0,6540547829","408,9867249","1,7","14,7"
"0,662254729","413,6361694","1,7","14,8"
"0,670554734","419,3563843","1,8","15,0"
"0,6787547382","420,3687134","1,8","15,1"
"0,6872547447","425,3727417","1,8","15,2"
"0,6956547505","430,0054932","1,8","15,4"
"0,7038547547","434,6949768","1,8","15,6"
"0,7122547604","437,5918884","1,9","15,7"
"0,7203547057","442,9086609","1,9","15,9"
"0,729054772","447,5696411","1,9","16,0"
"0,737254718","451,9199829","1,9","16,2"
"0,745554723","455,9440308","2,0","16,3"
"0,7539547287","459,9457092","2,0","16,5"
"0,762154733","463,9729004","2,0","16,6"
"0,7707547402","469,7446594","2,0","16,8"
"0,7789547445","474,2241516","2,0","17,0"
"0,7872547495","477,5730286","2,1","17,1"
"0,7954547537","480,7573242","2,1","17,2"
"0,8038547594","485,7538757","2,1","17,4"
"0,812354766","488,0259399","2,1","17,5"
"0,820554712","491,4492188","2,2","17,6"
"0,828854717","496,5764465","2,2","17,8"
"0,8370547212","501,004425","2,2","18,0"
"0,8456547285","503,7773132","2,2","18,1"
"0,8539547335","508,9062805","2,2","18,2"
"0,8621547377","512,9789429","2,3","18,4"
"0,8705547435","517,4109497","2,3","18,5"
"0,8787547477","519,9002686","2,3","18,6"
"0,887354755","524,9938965","2,3","18,8"
"0,895554701","528,4642334","2,4","18,9"
"0,903854706","532,7543945","2,4","19,1"
"0,912154711","535,2086792","2,4","19,2"
"0,9205547749","540,3152466","2,4","19,4"
"0,9290547232","543,4776001","2,4","19,5"
"0,9371547267","547,5802612","2,5","19,6"
"0,9456547332","552,1989746","2,5","19,8"
"0,9537547367","555,2828369","2,5","19,9"
"0,962354744","557,5753174","2,5","20,0"
"0,970654749","562,6988525","2,5","20,2"
"0,978854695","566,7421265","2,6","20,3"
"0,987254759","571,3410645","2,6","20,5"
"0,995454705","574,5170288","2,6","20,6"
"1,004054712","577,4641113","2,6","20,7"
"1,012254658","582,4134521","2,7","20,9"
"1,020554721","584,9470215","2,7","21,0"
"1,028754784","590,2635498","2,7","21,2"
"1,037254732","593,2543945","2,7","21,3"
"1,045754681","595,178894","2,7","21,3"
"1,053854742","599,4917603","2,8","21,5"
"1,06225469","602,8161621","2,8","21,6"
"1,070354751","606,9783325","2,8","21,8"
"1,078954701","611,5604858","2,8","21,9"
"1,087254647","615,7774048","2,9","22,1"
"1,09555471","619,8748779","2,9","22,2"
"1,103854657","622,0097656","2,9","22,3"
"1,11205472","624,6520996","2,9","22,4"
"1,120754786","629,0042114","2,9","22,5"
"1,128954732","632,9683838","3,0","22,7"
"1,137254795","636,8236694","3,0","22,8"
"1,145454741","640,6863403","3,0","23,0"
"1,153854805","642,6061401","3,0","23,0"
"1,162354753","648,0790405","3,1","23,2"
"1,1705547","651,0463257","3,1","23,3"
"1,178854763","652,5588989","3,1","23,4"
"1,187154709","656,0310059","3,1","23,5"
"1,195754659","660,8519287","3,1","23,7"
"1,203954721","663,7455444","3,2","23,8"
"1,212154667","666,5751953","3,2","23,9"
"1,220554731","670,1810913","3,2","24,0"
"1,228654676","674,7680664","3,2","24,2"
"1,237354742","677,9694214","3,2","24,3"
"1,245554689","680,4906616","3,3","24,4"
"1,253854635","683,5820923","3,3","24,5"
"1,262054698","685,8823242","3,3","24,6"
"1,270454645","690,6638184","3,3","24,8"
"1,279054711","694,8190308","3,4","24,9"
"1,287254773","697,4099121","3,4","25,0"
"1,29555472","701,3083496","3,4","25,1"
"1,303754782","704,3064575","3,4","25,2"
"1,312354731","707,260376","3,4","25,3"
"1,320654678","709,3150024","3,5","25,4"
"1,328854741","713,3830566","3,5","25,6"
"1,337154688","715,2103882","3,5","25,6"
"1,345454751","720,1052856","3,5","25,8"
"1,3540547","721,3042603","3,6","25,9"
"1,362254646","728,00177","3,6","26,1"
"1,370554709","728,5827637","3,6","26,1"
"1,378754771","732,5299683","3,6","26,3"
"1,38725472","736,3571777","3,6","26,4"
"1,395754784","740,4988403","3,7","26,5"
"1,40385473","744,3067627","3,7","26,7"
"1,412254794","743,687561","3,7","26,7"
"1,420354739","747,7806396","3,7","26,8"
"1,429054805","751,890686","3,8","26,9"
"1,437254751","755,4825439","3,8","27,1"
"1,445554814","758,9077148","3,8","27,2"
"1,453854761","762,5557251","3,8","27,3"
"1,462054824","763,1172485","3,8","27,4"
"1,470754657","762,8581543","3,9","27,3"
"1,47895472","769,8807373","3,9","27,6"
"1,487254666","777,2549438","3,9","27,9"
"1,495454729","776,9758911","3,9","27,8"
"1,503854676","779,8609619","3,9","28,0"
"1,512354741","783,625","4,0","28,1"
"1,520454686","786,9421997","4,0","28,2"
"1,528954635","789,8562012","4,0","28,3"
"1,537054696","792,5702515","4,0","28,4"
"1,545654762","796,810791","4,1","28,6"
"1,553954825","800,9671631","4,1","28,7"
"1,562254772","801,9937134","4,1","28,7"
"1,570454718","804,6273193","4,1","28,8"
"1,578754665","807,1025391","4,1","28,9"
"1,58735473","809,8190308","4,2","29,0"
"1,595554792","813,9764404","4,2","29,2"
"1,60395474","815,1992798","4,2","29,2"
"1,612054802","819,2647705","4,2","29,4"
"1,62055475","822,1966553","4,3","29,5"
"1,628954698","825,3687134","4,3","29,6"
"1,63715476","828,46698","4,3","29,7"
"1,645554708","830,5415649","4,3","29,8"
"1,65375477","832,9962769","4,3","29,9"
"1,662354719","837,1245117","4,4","30,0"
"1,670654666","838,5634766","4,4","30,1"
"1,678854728","841,5464478","4,4","30,2"
"1,687154675","844,6833496","4,4","30,3"
"1,695454738","847,7922363","4,5","30,4"
"1,704054804","850,0172119","4,5","30,5"
"1,71225475","853,2167969","4,5","30,6"
"1,720554813","856,9745483","4,5","30,7"
"1,728754643","860,6569824","4,5","30,8"
"1,737254707","862,1115723","4,6","30,9"
"1,745654771","864,7427979","4,6","31,0"
"1,753854717","867,7836304","4,6","31,1"
"1,762254781","869,6178589","4,6","31,2"
"1,770354726","873,5202026","4,6","31,3"
"1,779054676","874,5999756","4,7","31,3"
"1,787254739","878,9558716","4,7","31,5"
"1,795554686","881,9146118","4,7","31,6"
"1,803754748","885,0358276","4,7","31,7"
"1,812054695","887,1719971","4,8","31,8"
"1,820754761","890,2602539","4,8","31,9"
"1,828854706","892,6699829","4,8","32,0"
"1,837254654","895,1653442","4,8","32,1"
"1,845354715","897,34729","4,8","32,2"
"1,853954781","900,4254761","4,9","32,3"
"1,862354729","903,2321167","4,9","32,4"
"1,870454674","906,5586548","4,9","32,5"
"1,878854738","909,2454224","4,9","32,6"
"1,887154801","912,6883545","5,0","32,7"
"1,895654749","914,3959961","5,0","32,8"
"1,903954696","916,7405396","5,0","32,9"
"1,912254759","919,1113281","5,0","32,9"
"1,920554706","921,3370361","5,0","33,0"
"1,928754768","925,2799072","5,1","33,2"
"1,937454718","926,4570313","5,1","33,2"
"1,94555478","929,3547363","5,1","33,3"
"1,953854727","933,4171753","5,1","33,5"
"1,962054789","935,4727783","5,1","33,5"
"1,970554738","937,4897461","5,2","33,6"
"1,979054802","940,449646","5,2","33,7"
"1,987154747","942,5818481","5,2","33,8"
"1,995554811","944,8069458","5,2","33,9"
"2,003654757","948,2872925","5,3","34,0"
"2,012254822","950,7902832","5,3","34,1"
