mm,N,Def,Cont
"0,04399852755","16,71220207","0,117017","0,5"
"0,0526985274","23,90417671","0,140156","0,7"
"0,060898528","28,31036949","0,161964","0,9"
"0,06919852935","36,54032516","0,184039","1,1"
"0,07739852994","42,02596283","0,205847","1,3"
"0,08599852995","49,25826645","0,228719","1,5"
"0,09439852479","56,74302292","0,251060","1,7"
"0,1026985225","61,68829727","0,273134","1,9"
"0,1109985275","69,02611542","0,295209","2,1"
"0,1191985317","73,29309845","0,317017","2,2"
"0,1278985252","78,60644531","0,340156","2,4"
"0,1359985287","85,64313507","0,361698","2,6"
"0,1443985272","90,51702881","0,384039","2,7"
"0,1525985314","96,40919495","0,405847","2,9"
"0,1609985226","102,1348877","0,428188","3,1"
"0,1695985299","108,6628113","0,451060","3,3"
"0,1776985188","111,8927994","0,472602","3,4"
"0,1860985245","121,4071884","0,494943","3,7"
"0,1942985288","125,2893448","0,516751","3,8"
"0,2027985353","128,6594849","0,539358","3,9"
"0,2112985273","135,2740479","0,561964","4,1"
"0,2193985307","141,0087585","0,583507","4,3"
"0,2277985365","145,4887543","0,605847","4,4"
"0,2358985254","148,2400513","0,627390","4,5"
"0,2445985189","155,2552795","0,650528","4,7"
"0,2527985231","159,2240143","0,672336","4,8"
"0,2610985281","163,1968231","0,694411","4,9"
"0,2693985185","167,7232513","0,716485","5,1"
"0,2775985228","173,9034729","0,738294","5,3"
"0,2862985454","176,9973602","0,761432","5,3"
"0,2943985197","181,0687103","0,782975","5,5"
"0,3027985255","185,9411621","0,805315","5,6"
"0,3109985297","190,3789978","0,827124","5,7"
"0,3194985362","194,9439697","0,849730","5,9"
"0,327898542","199,2971802","0,872071","6,0"
"0,3360985171","203,7558136","0,893879","6,2"
"0,3444985229","206,169754","0,916219","6,2"
"0,3525985263","211,4024048","0,937762","6,4"
"0,3612985344","215,3850403","0,960900","6,5"
"0,3694985095","218,3513947","0,982709","6,6"
"0,3777985145","224,6096497","1,004783","6,8"
"0,3860985195","226,1130676","1,026858","6,8"
"0,3942985237","230,8410645","1,048666","7,0"
"0,4029985318","235,5049591","1,071805","7,1"
"0,4110985352","239,1463928","1,093347","7,2"
"0,419498541","245,0624237","1,115688","7,4"
"0,4276985161","247,0877228","1,137496","7,5"
"0,4360985219","250,6982269","1,159836","7,6"
"0,4445985284","254,3571777","1,182443","7,7"
"0,4526985319","259,5946045","1,203985","7,8"
"0,4610985085","261,8778687","1,226326","7,9"
"0,4692985418","265,6784973","1,248134","8,0"
"0,4778985491","269,8028564","1,271007","8,1"
"0,4861985541","273,8489685","1,293081","8,3"
"0,4943985292","277,609436","1,314890","8,4"
"0,502798535","283,6997986","1,337230","8,6"
"0,5109985101","286,8716736","1,359039","8,7"
"0,5196985182","293,3013","1,382177","8,9"
"0,5277985507","293,163147","1,403720","8,9"
"0,5361984983","296,5340271","1,426060","9,0"
"0,5442985599","300,2398376","1,447603","9,1"
"0,5526985075","303,5864563","1,469943","9,2"
"0,5612985148","307,771637","1,492815","9,3"
"0,5693985765","313,2247925","1,514358","9,5"
"0,577798524","316,4382324","1,536698","9,6"
"0,5858985275","317,8609009","1,558241","9,6"
"0,5945984773","322,4292603","1,581379","9,7"
"0,6027985397","326,2564087","1,603188","9,9"
