mm,N,Def 5,Cont
"0,04229890507","13,57644272","0,1","0,5"
"0,05059890461","19,83029175","0,1","0,7"
"0,05919890461","27,257864","0,1","0,9"
"0,06739890702","32,78686523","0,2","1,1"
"0,07569890474","40,25695801","0,2","1,3"
"0,08389890533","45,82807159","0,2","1,5"
"0,09229890745","51,17549515","0,2","1,7"
"0,1008989002","58,04072952","0,2","1,9"
"0,1089989036","62,50173187","0,3","2,1"
"0,1173989094","69,32584381","0,3","2,3"
"0,1255989063","74,07062531","0,3","2,5"
"0,1341989064","80,32212067","0,3","2,7"
"0,1424989041","86,54497528","0,4","2,9"
"0,150698901","91,24630737","0,4","3,0"
"0,1590989141","96,91267395","0,4","3,2"
"0,167198903","101,3873978","0,4","3,4"
"0,1758988965","105,9396439","0,4","3,5"
"0,1841989014","112,2009735","0,5","3,7"
"0,1924989064","118,3959351","0,5","3,9"
"0,2006988961","122,1079941","0,5","4,1"
"0,2089989011","130,4066162","0,5","4,3"
"0,2175989084","132,8400421","0,5","4,4"
"0,2257989126","136,9950409","0,6","4,6"
"0,2341989038","143,4487305","0,6","4,8"
"0,2422989073","145,8869171","0,6","4,8"
"0,2508989","149,1699677","0,6","5,0"
"0,2592989058","153,1028442","0,6","5,1"
"0,2673989092","158,1686401","0,7","5,3"
"0,2758989012","162,1497192","0,7","5,4"
"0,2839988901","167,6741028","0,7","5,6"
"0,2925988974","171,0884552","0,7","5,7"
"0,3007989016","174,3567657","0,7","5,8"
"0,3090989066","178,4046783","0,8","5,9"
"0,3173988825","184,2979736","0,8","6,1"
"0,3256988875","186,3379211","0,8","6,2"
"0,3342988948","191,1017609","0,8","6,4"
"0,3424989281","195,4601135","0,8","6,5"
"0,350798904","200,1933136","0,9","6,7"
"0,3589989082","203,7648468","0,9","6,8"
"0,3674988857","208,1233368","0,9","6,9"
"0,3758989205","209,9698792","0,9","7,0"
"0,3840988956","216,2011261","0,9","7,2"
"0,3924989014","220,6938477","1,0","7,3"
"0,4006989056","224,8674469","1,0","7,5"
"0,4092989129","228,433136","1,0","7,6"
"0,4175988888","232,4891968","1,0","7,7"
"0,4257989221","236,4163818","1,1","7,9"
"0,4340989271","238,8946533","1,1","7,9"
"0,442398903","242,6652374","1,1","8,1"
"0,4509988812","248,012619","1,1","8,2"
"0,4590988846","252,1979828","1,1","8,4"
"0,4675988912","255,6981049","1,2","8,5"
"0,475598923","261,0581055","1,2","8,7"
"0,4841989303","263,5308533","1,2","8,8"
"0,4925989069","268,7753601","1,2","8,9"
"0,5007989111","271,220459","1,2","9,0"
"0,5090989161","274,8726807","1,3","9,1"
"0,5172988913","278,7718506","1,3","9,3"
"0,5259989284","283,8019714","1,3","9,4"
"0,5341989326","287,815033","1,3","9,6"
"0,5423989369","290,4195251","1,3","9,7"
"0,5507988844","294,7819214","1,4","9,8"
"0,5589989468","298,6741333","1,4","9,9"
"0,5676988967","302,4673462","1,4","10,1"
"0,5757989001","305,6893616","1,4","10,2"
"0,5841989059","308,976532","1,4","10,3"
"0,5923989101","314,7360229","1,5","10,5"
"0,6008989166","319,212616","1,5","10,6"
"0,6092989224","322,1546631","1,5","10,7"
"0,6174989266","325,118927","1,5","10,8"
"0,6258988742","327,7958374","1,5","10,9"
"0,6339989359","331,2783813","1,6","11,0"
"0,6426989439","335,9255066","1,6","11,2"
"0,6508989481","340,7529297","1,6","11,3"
"0,6590988941","343,8576355","1,6","11,4"
"0,6673988991","346,3811951","1,6","11,5"
"0,6756989041","350,6966553","1,7","11,7"
"0,6842989114","355,574585","1,7","11,8"
"0,6924989156","358,7277832","1,7","11,9"
"0,7007989206","361,0794067","1,7","12,0"
"0,7089989249","364,9542847","1,8","12,1"
"0,7174988732","367,2751465","1,8","12,2"
"0,7258989371","373,4766846","1,8","12,4"
"0,7340988832","376,1790771","1,8","12,5"
"0,7424989471","379,5080566","1,8","12,6"
"0,7505988924","383,6253357","1,9","12,8"
"0,7592989004","386,3237305","1,9","12,8"
"0,7675989054","391,7395325","1,9","13,0"
"0,7757989096","393,4501648","1,9","13,1"
"0,7840989146","397,2445068","1,9","13,2"
"0,7923989196","399,9468384","2,0","13,3"
"0,8009989269","405,6715088","2,0","13,5"
"0,8090988722","408,0520325","2,0","13,6"
"0,8174989361","411,2104187","2,0","13,7"
"0,8256988822","415,7181396","2,0","13,8"
"0,8341988887","418,6269836","2,1","13,9"
"0,8425988944","421,8623047","2,1","14,0"
"0,8506988979","425,9890747","2,1","14,2"
"0,8590989036","428,6799316","2,1","14,3"
"0,8672989079","431,2655029","2,1","14,3"
"0,8758989152","436,8620605","2,2","14,5"
"0,8841989201","438,8988953","2,2","14,6"
"0,8924989251","441,8005981","2,2","14,7"
"0,9006988712","445,9213867","2,2","14,8"
"0,9089988762","448,7375488","2,2","14,9"
"0,9175988834","452,7204285","2,3","15,1"
"0,9257988877","455,6036987","2,3","15,1"
"0,9340988927","459,006897","2,3","15,3"
"0,9423988976","463,1889954","2,3","15,4"
"0,9508989624","464,4766846","2,3","15,4"
"0,9591989092","470,4964905","2,4","15,6"
"0,9673989134","471,8590698","2,4","15,7"
"0,9757989191","476,4440613","2,4","15,8"
"0,9839988652","479,0318604","2,4","15,9"
"0,9925988724","481,0864258","2,5","16,0"
"1,000798935","486,4610291","2,5","16,2"
"1,009098882","488,4534607","2,5","16,2"
"1,017398828","494,1435547","2,5","16,4"
"1,025798892","495,8832397","2,5","16,5"
"1,034298841","499,3215942","2,6","16,6"
"1,042398902","503,4955444","2,6","16,7"
"1,05079885","505,4198303","2,6","16,8"
"1,058898912","508,7440186","2,6","16,9"
