mm,N,Def 2,Cont
"-0,02053756628","16,17197037","-0,1","0,5"
"-0,01213756508","25,35352707","0,0","0,9"
"-0,003937566303","29,8482151","0,0","1,0"
"0,004562432936","35,06161499","0,0","1,2"
"0,01296243141","43,1852417","0,0","1,5"
"0,02116243565","47,34453201","0,1","1,6"
"0,02956243412","53,28976822","0,1","1,8"
"0,03776243472","58,11393738","0,1","2,0"
"0,04636243472","65,01953125","0,1","2,2"
"0,05456243895","72,41631317","0,1","2,5"
"0,06286243667","76,38803864","0,2","2,6"
"0,07116243438","81,54411316","0,2","2,8"
"0,0794624321","87,37101746","0,2","3,0"
"0,0880624321","92,64439392","0,2","3,1"
"0,09626242906","97,47897339","0,3","3,3"
"0,104562434","99,78042603","0,3","3,4"
"0,112862439","105,8100433","0,3","3,6"
"0,1212624302","105,6546173","0,3","3,6"
"0,1297624222","106,4801788","0,3","3,6"
"0,1379624264","97,77612305","0,4","3,3"
"0,146262446","98,08943176","0,4","3,3"
"0,1544624357","101,410347","0,4","3,4"
"0,1630624429","101,1683197","0,4","3,4"
"0,1713624334","100,8918304","0,4","3,4"
"0,1795624376","102,2454758","0,5","3,5"
"0,1878624281","103,0140533","0,5","3,5"
"0,196162433","103,4574203","0,5","3,5"
"0,2047624258","105,4144363","0,5","3,6"
"0,21296243","103,6832275","0,6","3,5"
"0,2213624503","109,4972153","0,6","3,7"
"0,2295624254","111,5889206","0,6","3,8"
"0,2378624304","112,8372498","0,6","3,8"
"0,2464624377","119,0880127","0,6","4,0"
"0,2545624412","123,7376938","0,7","4,2"
"0,2629624469","126,4108963","0,7","4,3"
"0,2711624221","128,9367065","0,7","4,4"
"0,2796624286","134,0991974","0,7","4,6"
"0,2880624343","137,0569","0,8","4,7"
"0,2962624386","141,2515869","0,8","4,8"
"0,3046624443","146,1013336","0,8","5,0"
"0,3128624194","152,7977142","0,8","5,2"
"0,3215624275","155,7668304","0,8","5,3"
"0,3296624309","158,3804016","0,9","5,4"
"0,3379624068","164,2090302","0,9","5,6"
"0,3462624409","168,6323242","0,9","5,7"
"0,3545624459","172,9690247","0,9","5,9"
"0,3631624241","175,9968719","1,0","6,0"
"0,3712624276","181,3914337","1,0","6,2"
"0,3796624333","185,6695404","1,0","6,3"
"0,3877624368","189,9768066","1,0","6,5"
"0,396362415","194,1981964","1,0","6,6"
"0,4047624207","198,8925476","1,1","6,8"
"0,4129624249","203,4224243","1,1","6,9"
"0,421262459","206,4129333","1,1","7,0"
"0,4294624342","209,7798462","1,1","7,1"
"0,4380624414","214,6003723","1,1","7,3"
"0,4463624464","218,7677307","1,2","7,4"
"0,4545624216","221,4508514","1,2","7,5"
"0,4628624557","228,6949005","1,2","7,8"
"0,4711624607","230,319458","1,2","7,8"
"0,4797624097","235,7161713","1,3","8,0"
"0,487962414","240,0882111","1,3","8,2"
"0,4963624779","244,0267792","1,3","8,3"
"0,5044624232","247,2792664","1,3","8,4"
"0,5129624879","251,5697021","1,3","8,5"
"0,5214624362","256,3756409","1,4","8,7"
"0,5295624397","257,789917","1,4","8,8"
"0,5379624454","262,693573","1,4","8,9"
"0,5461624497","267,1429749","1,4","9,1"
"0,5547623987","271,4017029","1,5","9,2"
"0,5630624037","274,3862305","1,5","9,3"
"0,571262408","279,3810425","1,5","9,5"
"0,579562413","282,9966431","1,5","9,6"
"0,5878624179","284,4896851","1,5","9,7"
"0,5964624252","290,9386292","1,6","9,9"
"0,6045624869","293,7634583","1,6","10,0"
"0,6128624337","297,4707336","1,6","10,1"
"0,6210624379","301,0163879","1,6","10,2"
"0,6295624444","305,9821777","1,6","10,4"
"0,6381624517","308,5328369","1,7","10,5"
"0,646262397","311,3822937","1,7","10,6"
"0,654562402","316,1346741","1,7","10,7"
"0,6627624062","321,1879272","1,7","10,9"
"0,6714624142","322,5372925","1,8","11,0"
"0,6796624185","326,9719849","1,8","11,1"
"0,6879624235","331,9317017","1,8","11,3"
"0,6961624277","335,8355713","1,8","11,4"
"0,7045624334","336,7866211","1,8","11,4"
"0,7130623818","343,9389343","1,9","11,7"
"0,7212624442","346,361908","1,9","11,8"
"0,7296623917","350,1312866","1,9","11,9"
"0,7377624534","354,1032715","1,9","12,0"
"0,7463624607","355,9158325","2,0","12,1"
"0,7547624082","359,7125854","2,0","12,2"
"0,7629624707","364,77771","2,0","12,4"
"0,7712624175","368,9504395","2,0","12,5"
"0,7794624799","371,0763245","2,0","12,6"
"0,788062429","376,0760193","2,1","12,8"
"0,796362434","380,7540588","2,1","12,9"
"0,8045624382","382,8678894","2,1","13,0"
"0,8128624432","384,7915344","2,1","13,1"
"0,82116239","390,6294861","2,1","13,3"
"0,8297624555","393,4742737","2,2","13,4"
"0,8379624597","397,6936646","2,2","13,5"
"0,8462624647","400,6012573","2,2","13,6"
"0,8544624689","402,6263428","2,2","13,7"
"0,8629624172","407,463623","2,3","13,8"
"0,8714624237","413,0534058","2,3","14,0"
"0,8795624272","414,1907959","2,3","14,1"
"0,8879624912","416,8391418","2,3","14,2"
"0,8960624364","421,3555298","2,3","14,3"
